# tijd (s), versnelling (m/s^2)
8.914858096828046641e-01,6.181721801112871191e-17
9.015025041736226541e-01,1.236344360222574238e-16
9.115191986644407551e-01,2.472688720445148476e-16
9.215358931552587451e-01,4.636291350834653886e-16
9.315525876460767352e-01,8.654410521558019668e-16
9.415692821368948362e-01,1.576339059283782203e-15
9.515859766277128262e-01,2.843592028511920945e-15
9.616026711185308162e-01,5.192646312934811406e-15
9.716193656093489173e-01,9.488942964708256539e-15
9.816360601001669073e-01,1.730882104311604012e-14
9.916527545909850083e-01,3.158859840368677070e-14
1.001669449081802998e+00,5.758273857736639263e-14
1.011686143572620988e+00,1.050583620099132434e-13
1.021702838063438978e+00,1.916024672254934314e-13
1.031719532554257190e+00,3.494527334169105870e-13
1.041736227045075180e+00,6.373973349127481435e-13
1.051752921535893170e+00,1.162596419135297606e-12
1.061769616026711160e+00,2.120485120826742541e-12
1.071786310517529150e+00,3.867656062084279390e-12
1.081803005008347141e+00,7.054395467775974958e-12
1.091819699499165353e+00,1.286685211709936963e-11
1.101836393989983343e+00,2.346841228018092567e-11
1.111853088480801333e+00,4.280511625154303629e-11
1.121869782971619323e+00,7.807415727256738283e-11
1.131886477462437313e+00,1.424029470342702437e-10
1.141903171953255303e+00,2.597351176802931024e-10
1.151919866444073515e+00,4.737425246759130537e-10
1.161936560934891505e+00,8.640802079185050228e-10
1.171953255425709495e+00,1.576034671302295274e-09
1.181969949916527485e+00,2.874600348690137257e-09
1.191986644407345475e+00,5.243112560648910298e-09
1.202003338898163687e+00,9.563148229574380606e-09
1.212020033388981677e+00,1.744265494920682423e-08
1.222036727879799667e+00,3.181444025344148667e-08
1.232053422370617657e+00,5.802778255130646680e-08
1.242070116861435647e+00,1.058394675006013545e-07
1.252086811352253637e+00,1.930453241186569312e-07
1.262103505843071849e+00,3.521039291214833130e-07
1.272120200333889839e+00,6.422178225335528596e-07
1.282136894824707829e+00,1.171368793197657787e-06
1.292153589315525819e+00,2.136508404356618439e-06
1.302170283806343809e+00,3.896861235490333822e-06
1.312186978297162021e+00,7.107619094908201806e-06
1.322203672787980011e+00,1.296376907561658072e-05
1.332220367278798001e+00,2.364474658162514108e-05
